Martial Status,Sex,Year,Age,Education,Job,Skill Level,Area Type,Type of unemployment
Divorced of separated legally,Female,2020,37,Advanced,Doctor,No skill,Rural,Don't have a job
NaN,Female,2001,52,Intermediate,Architect,low,National,Don't have a job
Widowed,Male,2005,42,Basic,Doctor,low,National,Have a job
Widowed,Female,2019,53,Advanced,Banker,medium,Urban,Have a job
Divorced of separated legally,Male,2020,35,Advanced,IT Developer,No skill,Rural,Don't have a job
Married,Male,2019,51,Intermediate,Banker,advanced,Rural,Don't have a job
Single,Male,2003,39,Less than basic,Car driver,advanced,Urban,Don't have a job
Widowed,Both,2003,39,Less than basic,IT Developer,medium,Rural,Have a job
Divorced of separated legally,Both,2009,37,Basic,Doctor,advanced,Rural,Don't have a job
Married,Both,2013,59,Less than basic,Doctor,low,National,Don't have a job
Divorced of separated legally,Male,2015,56,Intermediate,Banker,low,National,Have a job
Married,Male,2015,47,Advanced,Artist,NaN,National,Have a job
Married,Female,2011,56,Less than basic,IT Developer,low,Urban,Don't have a job
Widowed,Both,2001,32,Basic,Teacher,low,National,Have a job
Single,Female,2003,56,Less than basic,Teacher,low,Rural,Don't have a job
Single,Both,2004,36,Less than basic,Artist,advanced,Rural,Have a job
Married,Both,2004,21,NaN,Accountant,NaN,National,Don't have a job
NaN,Female,2003,40,Intermediate,Car driver,advanced,Urban,Have a job
Divorced of separated legally,Male,2003,42,Advanced,Car driver,medium,Urban,Don't have a job
Widowed,Both,2008,35,Advanced,IT Developer,advanced,Urban,Have a job
Married,Both,2006,39,NaN,IT Developer,advanced,Rural,Have a job
NaN,Both,2021,55,Intermediate,IT Developer,NaN,National,Don't have a job
Divorced of separated legally,Female,2017,32,Advanced,Teacher,medium,Rural,Don't have a job
Married,Female,2009,65,Basic,IT Developer,low,National,Don't have a job
Single,Both,2003,19,Advanced,Accountant,No skill,National,Don't have a job
Widowed,Female,2016,59,Less than basic,Teacher,medium,National,Don't have a job
Married,Female,2005,45,Intermediate,Banker,medium,Urban,Have a job
NaN,Both,2008,38,Advanced,Teacher,No skill,Urban,Don't have a job
Single,Male,2015,26,Less than basic,IT Developer,NaN,National,Don't have a job
NaN,Male,2010,39,Less than basic,Teacher,low,Rural,Have a job
Widowed,Female,2019,51,NaN,Accountant,low,National,Have a job
Widowed,Male,2015,38,Advanced,Banker,NaN,National,Don't have a job
Married,Female,2015,65,Advanced,Artist,No skill,Urban,Don't have a job
Married,Both,2003,20,Advanced,Teacher,No skill,National,Have a job
Single,Both,2000,24,NaN,IT Developer,low,Rural,Don't have a job
NaN,Both,2003,28,NaN,Teacher,NaN,Urban,Don't have a job
Married,Female,2013,46,Basic,Artist,low,Urban,Don't have a job
Divorced of separated legally,Both,2008,27,Intermediate,Car driver,low,Rural,Have a job
Single,Both,2013,50,Intermediate,Accountant,No skill,Rural,Have a job
Divorced of separated legally,Both,2009,60,NaN,Architect,No skill,Rural,Don't have a job
Widowed,Both,2012,54,Basic,Doctor,medium,National,Have a job
Widowed,Both,2017,15,NaN,Car driver,NaN,Urban,Have a job
Widowed,Female,2020,23,Basic,Accountant,medium,National,Don't have a job
Widowed,Both,2003,28,Basic,Banker,NaN,Rural,Don't have a job
NaN,Both,2007,15,Less than basic,IT Developer,NaN,Urban,Have a job
Divorced of separated legally,Both,2002,46,Basic,Teacher,advanced,National,Have a job
Single,Both,2014,63,Less than basic,Teacher,low,Urban,Have a job
NaN,Both,2007,41,Intermediate,Banker,No skill,Urban,Don't have a job
NaN,Female,2011,33,Basic,Accountant,medium,Rural,Don't have a job
Single,Male,2013,54,Advanced,IT Developer,low,National,Don't have a job
Divorced of separated legally,Female,2020,50,Less than basic,Architect,low,National,Don't have a job
NaN,Both,2003,37,NaN,Accountant,low,Urban,Have a job
Divorced of separated legally,Both,2006,23,Less than basic,Accountant,No skill,Rural,Don't have a job
Married,Male,2012,20,Advanced,Architect,medium,Urban,Don't have a job
Married,Male,2009,51,Basic,Banker,medium,National,Don't have a job
Widowed,Female,2007,61,Intermediate,Doctor,NaN,National,Don't have a job
Single,Both,2019,54,NaN,Architect,medium,National,Have a job
NaN,Male,2005,52,NaN,Artist,low,Urban,Have a job
Single,Female,2012,28,NaN,Accountant,No skill,National,Have a job
Divorced of separated legally,Female,2015,59,Less than basic,Architect,No skill,Urban,Don't have a job
Widowed,Female,2009,41,Intermediate,Doctor,medium,Urban,Have a job
Married,Male,2021,46,Intermediate,Car driver,low,Rural,Don't have a job
Widowed,Female,2004,29,NaN,Banker,No skill,National,Don't have a job
NaN,Female,2018,64,Intermediate,Architect,advanced,National,Have a job
Divorced of separated legally,Both,2018,18,Less than basic,Artist,medium,Urban,Don't have a job
NaN,Male,2006,17,Advanced,Banker,No skill,National,Don't have a job
Single,Both,2001,62,NaN,Accountant,medium,National,Have a job
Widowed,Female,2001,63,Basic,Accountant,advanced,Rural,Have a job
Widowed,Female,2022,54,Intermediate,Banker,No skill,Rural,Have a job
Widowed,Female,2018,26,Basic,Teacher,medium,Rural,Have a job
NaN,Male,2000,33,Less than basic,Accountant,low,Urban,Have a job
NaN,Male,2012,15,Advanced,Car driver,low,Rural,Have a job
NaN,Male,2023,41,Basic,Banker,advanced,National,Don't have a job
Married,Female,2005,60,Less than basic,IT Developer,low,National,Don't have a job
NaN,Both,2010,19,NaN,IT Developer,advanced,Rural,Have a job
Married,Female,2022,15,Advanced,Doctor,NaN,Rural,Don't have a job
Single,Both,2014,40,NaN,Banker,low,Rural,Don't have a job
Divorced of separated legally,Male,2019,59,Basic,Doctor,NaN,Rural,Don't have a job
Divorced of separated legally,Female,2014,48,Less than basic,Artist,No skill,Rural,Have a job
Married,Male,2015,62,NaN,Car driver,medium,National,Have a job
NaN,Both,2005,20,Advanced,Car driver,No skill,National,Have a job
Single,Female,2021,36,Intermediate,Doctor,advanced,Rural,Have a job
Widowed,Male,2013,54,Intermediate,Car driver,No skill,Urban,Have a job
Married,Male,2003,51,Advanced,Artist,advanced,National,Don't have a job
Married,Female,2001,63,Intermediate,Doctor,medium,Urban,Have a job
Single,Male,2002,62,Intermediate,Banker,medium,National,Have a job
NaN,Female,2008,43,Less than basic,Accountant,No skill,National,Have a job
Married,Female,2008,60,Advanced,Architect,No skill,Urban,Have a job
Married,Male,2019,61,Intermediate,Teacher,medium,Urban,Have a job
Divorced of separated legally,Male,2020,54,NaN,IT Developer,advanced,National,Don't have a job
Divorced of separated legally,Both,2008,39,Intermediate,Artist,medium,Rural,Don't have a job
Divorced of separated legally,Both,2021,39,Less than basic,Artist,medium,National,Don't have a job
Married,Female,2010,54,Intermediate,Accountant,advanced,National,Have a job
Widowed,Both,2019,54,Less than basic,IT Developer,low,Urban,Don't have a job
NaN,Female,2019,19,Intermediate,Car driver,low,National,Don't have a job
Divorced of separated legally,Male,2023,57,Less than basic,Banker,NaN,National,Have a job
Widowed,Male,2022,65,NaN,IT Developer,NaN,Urban,Have a job
Married,Male,2018,19,Basic,Doctor,advanced,National,Don't have a job
Widowed,Male,2011,29,NaN,Artist,No skill,Rural,Have a job
Married,Both,2021,21,Advanced,Teacher,low,Rural,Have a job
Widowed,Female,2019,29,Advanced,Car driver,medium,Urban,Have a job
Married,Female,2008,26,NaN,Artist,low,Rural,Don't have a job
NaN,Male,2005,48,Basic,Accountant,advanced,National,Don't have a job
Divorced of separated legally,Both,2017,46,Basic,Artist,medium,Urban,Have a job
Single,Both,2013,28,Basic,Architect,advanced,Urban,Have a job
Married,Both,2006,18,Basic,Architect,medium,Rural,Don't have a job
Married,Both,2012,24,NaN,IT Developer,medium,National,Don't have a job
Divorced of separated legally,Male,2018,25,Advanced,Accountant,low,National,Have a job
Single,Male,2017,55,Basic,Accountant,medium,Rural,Don't have a job
Widowed,Female,2015,65,Intermediate,Teacher,low,National,Don't have a job
Married,Both,2000,16,Intermediate,Architect,advanced,Urban,Don't have a job
Single,Male,2012,41,Less than basic,Banker,low,Rural,Have a job
NaN,Male,2022,32,Basic,Artist,medium,Urban,Have a job
Widowed,Male,2002,29,Advanced,Doctor,advanced,Urban,Don't have a job
Married,Male,2016,59,Basic,IT Developer,No skill,National,Have a job
Single,Female,2017,41,Basic,Banker,advanced,Rural,Don't have a job
NaN,Male,2000,65,Advanced,Accountant,No skill,Rural,Have a job
NaN,Male,2015,15,Less than basic,IT Developer,low,Urban,Don't have a job
Divorced of separated legally,Male,2001,56,Advanced,Artist,No skill,Urban,Have a job
Single,Male,2012,53,Basic,Architect,advanced,Urban,Have a job
Widowed,Male,2014,21,Basic,Architect,NaN,Urban,Don't have a job
Divorced of separated legally,Female,2022,24,Advanced,Architect,medium,Rural,Don't have a job
Single,Male,2022,40,Intermediate,Architect,medium,Rural,Have a job
Divorced of separated legally,Male,2014,50,Advanced,Doctor,advanced,Urban,Don't have a job
Single,Both,2015,21,Basic,Teacher,advanced,Urban,Don't have a job
Widowed,Both,2016,60,Basic,IT Developer,medium,Urban,Have a job
NaN,Both,2014,20,Intermediate,Doctor,No skill,National,Don't have a job
Widowed,Female,2023,46,Advanced,Teacher,low,National,Don't have a job
NaN,Male,2017,29,Advanced,IT Developer,advanced,Urban,Don't have a job
Widowed,Male,2014,63,NaN,Teacher,NaN,Rural,Have a job
Divorced of separated legally,Both,2022,16,Basic,Teacher,NaN,National,Have a job
Widowed,Both,2020,39,NaN,Teacher,advanced,National,Have a job
Married,Female,2013,27,Basic,IT Developer,medium,Rural,Don't have a job
Single,Both,2007,55,Less than basic,Accountant,low,Rural,Don't have a job
Divorced of separated legally,Male,2008,33,Basic,Accountant,NaN,Urban,Don't have a job
Married,Male,2010,36,Less than basic,IT Developer,medium,Urban,Have a job
Widowed,Both,2011,42,Intermediate,Teacher,low,Urban,Have a job
Single,Female,2005,60,Intermediate,Artist,low,National,Have a job
NaN,Male,2014,37,Less than basic,Architect,NaN,Urban,Don't have a job
Divorced of separated legally,Female,2005,15,Basic,Doctor,NaN,National,Don't have a job
Single,Male,2020,27,NaN,Accountant,NaN,National,Have a job
NaN,Male,2015,29,Advanced,Doctor,advanced,Urban,Have a job
Widowed,Both,2001,61,Intermediate,Teacher,NaN,Rural,Have a job
Widowed,Female,2005,57,Basic,IT Developer,No skill,Rural,Don't have a job
Widowed,Both,2007,36,Less than basic,Car driver,NaN,Urban,Have a job
Single,Both,2012,23,Advanced,Doctor,low,National,Have a job
NaN,Male,2013,50,Less than basic,Teacher,NaN,Urban,Have a job
NaN,Male,2017,64,NaN,Banker,No skill,National,Have a job
Widowed,Female,2019,43,Advanced,IT Developer,low,National,Have a job
NaN,Both,2001,32,Advanced,Banker,low,Urban,Have a job
Divorced of separated legally,Female,2013,30,NaN,Artist,No skill,National,Don't have a job
Married,Female,2023,37,NaN,IT Developer,low,Rural,Don't have a job
Divorced of separated legally,Both,2002,61,Advanced,Doctor,No skill,National,Don't have a job
NaN,Male,2021,18,Intermediate,Architect,low,National,Don't have a job
Single,Male,2020,19,Basic,Car driver,low,National,Have a job
NaN,Male,2006,28,Advanced,Banker,medium,Rural,Have a job
NaN,Male,2013,29,Intermediate,Teacher,low,National,Don't have a job
Divorced of separated legally,Both,2014,61,Advanced,Accountant,NaN,Rural,Have a job
NaN,Both,2000,31,NaN,Accountant,NaN,Rural,Have a job
Widowed,Male,2014,24,Intermediate,Architect,No skill,Urban,Have a job
Divorced of separated legally,Both,2022,53,NaN,Teacher,low,National,Have a job
NaN,Female,2020,18,Intermediate,Teacher,low,National,Don't have a job
NaN,Male,2023,18,Basic,Accountant,advanced,National,Don't have a job
Single,Male,2002,26,Advanced,Teacher,low,Urban,Don't have a job
Single,Female,2002,47,Basic,Banker,advanced,Rural,Have a job
Widowed,Both,2010,32,Advanced,Artist,No skill,National,Don't have a job
NaN,Both,2011,58,NaN,Banker,medium,Urban,Don't have a job
Divorced of separated legally,Male,2002,59,NaN,Artist,medium,National,Don't have a job
Married,Male,2003,17,Less than basic,Artist,low,National,Don't have a job
Divorced of separated legally,Female,2008,58,Basic,Accountant,No skill,Urban,Don't have a job
NaN,Female,2013,52,NaN,Architect,medium,Rural,Don't have a job
NaN,Both,2022,56,NaN,Architect,NaN,Urban,Don't have a job
Married,Both,2015,20,Less than basic,Artist,low,Rural,Don't have a job
Widowed,Female,2003,43,Intermediate,Banker,medium,National,Have a job
Married,Male,2017,24,Advanced,Car driver,advanced,National,Don't have a job
Married,Male,2009,28,NaN,IT Developer,NaN,National,Don't have a job
Widowed,Male,2023,42,Advanced,Car driver,NaN,Urban,Don't have a job
Married,Both,2000,19,Advanced,Architect,No skill,Rural,Don't have a job
Married,Male,2014,32,Basic,Artist,medium,Urban,Don't have a job
Married,Male,2023,53,NaN,Banker,advanced,National,Don't have a job
Divorced of separated legally,Both,2003,45,Basic,Banker,NaN,National,Don't have a job
NaN,Both,2021,19,NaN,Car driver,medium,Urban,Don't have a job
Divorced of separated legally,Male,2015,55,Intermediate,Teacher,medium,National,Don't have a job
Widowed,Female,2009,61,Advanced,Accountant,No skill,National,Have a job
NaN,Both,2017,32,Intermediate,Accountant,No skill,Rural,Don't have a job
Divorced of separated legally,Male,2009,31,Intermediate,Banker,low,National,Have a job
Widowed,Male,2018,23,NaN,Architect,NaN,National,Don't have a job
Widowed,Male,2015,16,NaN,Car driver,low,Urban,Don't have a job
Divorced of separated legally,Female,2016,16,NaN,Architect,NaN,Rural,Don't have a job
Divorced of separated legally,Both,2002,28,Less than basic,Architect,advanced,Rural,Have a job
Married,Male,2006,33,Basic,Teacher,medium,Rural,Have a job
NaN,Both,2000,41,NaN,Car driver,NaN,Rural,Don't have a job
Single,Male,2010,60,Less than basic,Doctor,No skill,Urban,Have a job
Single,Female,2000,17,Advanced,IT Developer,advanced,National,Don't have a job
Single,Both,2007,62,Less than basic,Architect,low,National,Don't have a job
Married,Female,2021,36,Basic,Architect,advanced,Rural,Don't have a job
Single,Male,2007,25,Advanced,Car driver,advanced,Urban,Don't have a job
Single,Male,2022,45,Less than basic,Artist,low,Urban,Don't have a job
Married,Both,2019,44,Basic,Car driver,low,Rural,Don't have a job
Married,Female,2011,26,Advanced,Car driver,medium,National,Don't have a job
Single,Female,2016,33,Advanced,IT Developer,medium,Urban,Don't have a job
Married,Female,2004,28,Intermediate,Car driver,low,National,Don't have a job
Widowed,Male,2003,61,NaN,IT Developer,medium,Urban,Don't have a job
Married,Both,2012,29,NaN,Doctor,NaN,Rural,Have a job
Married,Female,2009,50,Intermediate,Car driver,low,Urban,Have a job
Single,Male,2018,20,Intermediate,Car driver,No skill,National,Don't have a job
Widowed,Male,2023,20,Intermediate,Teacher,No skill,National,Don't have a job
Single,Male,2016,48,Intermediate,Banker,advanced,National,Don't have a job
Married,Male,2014,34,Advanced,Banker,medium,National,Don't have a job
Married,Female,2005,49,NaN,IT Developer,NaN,National,Have a job
Married,Male,2009,19,Less than basic,Artist,low,Rural,Don't have a job
NaN,Female,2008,42,Less than basic,Car driver,advanced,National,Have a job
Married,Female,2011,39,Advanced,IT Developer,NaN,National,Have a job
Single,Both,2007,46,Basic,Car driver,medium,Urban,Don't have a job
Widowed,Both,2004,41,NaN,Architect,medium,Urban,Have a job
Married,Both,2019,41,Basic,Doctor,NaN,Urban,Don't have a job
Divorced of separated legally,Female,2016,22,Advanced,Artist,advanced,Rural,Don't have a job
Divorced of separated legally,Both,2020,26,Less than basic,Accountant,NaN,Rural,Have a job
Single,Both,2002,25,NaN,Artist,No skill,Rural,Have a job
NaN,Both,2005,41,Basic,Teacher,No skill,National,Don't have a job
Single,Both,2022,22,Basic,Doctor,NaN,Urban,Have a job
NaN,Both,2020,25,NaN,Banker,advanced,National,Have a job
NaN,Female,2011,64,NaN,Banker,low,Rural,Don't have a job
Divorced of separated legally,Female,2001,52,Basic,Banker,NaN,Urban,Have a job
Single,Both,2011,52,Intermediate,Car driver,NaN,Rural,Don't have a job
Single,Female,2001,24,Intermediate,Architect,NaN,National,Have a job
Single,Both,2008,30,Intermediate,IT Developer,medium,Urban,Don't have a job
Divorced of separated legally,Female,2001,39,Intermediate,Artist,No skill,Rural,Have a job
Single,Male,2004,37,Basic,Artist,No skill,Rural,Don't have a job
Divorced of separated legally,Both,2017,15,Advanced,Banker,low,Rural,Don't have a job
NaN,Female,2015,37,Intermediate,Doctor,advanced,Urban,Have a job
NaN,Female,2004,58,Less than basic,Teacher,low,Rural,Don't have a job
Single,Both,2013,59,Less than basic,Teacher,medium,Urban,Have a job
Divorced of separated legally,Male,2004,40,Advanced,Banker,advanced,Urban,Don't have a job
Married,Female,2022,58,Less than basic,IT Developer,medium,Rural,Don't have a job
Married,Female,2018,63,Basic,Car driver,medium,Rural,Have a job
Widowed,Female,2003,18,Basic,Artist,low,Rural,Have a job
Divorced of separated legally,Both,2012,41,Intermediate,Artist,medium,Rural,Don't have a job
Divorced of separated legally,Female,2003,38,Basic,Architect,low,Urban,Have a job
Single,Both,2001,21,Less than basic,Accountant,medium,National,Have a job
Divorced of separated legally,Female,2006,36,Intermediate,Banker,low,National,Have a job
Widowed,Male,2022,39,NaN,Artist,medium,Rural,Don't have a job
Divorced of separated legally,Female,2013,53,Intermediate,Teacher,NaN,Urban,Have a job
Single,Female,2012,53,Less than basic,Architect,medium,Urban,Don't have a job
Married,Both,2022,42,Intermediate,Teacher,advanced,National,Have a job
NaN,Both,2021,15,Less than basic,IT Developer,NaN,National,Have a job
Single,Male,2007,63,Less than basic,Doctor,low,Rural,Have a job
Divorced of separated legally,Female,2004,44,Intermediate,Car driver,advanced,Rural,Don't have a job
Single,Female,2019,61,Advanced,Car driver,No skill,Urban,Have a job
NaN,Female,2019,26,Less than basic,Architect,No skill,Urban,Have a job
Divorced of separated legally,Male,2005,41,Intermediate,Artist,medium,Rural,Have a job
NaN,Female,2010,37,NaN,IT Developer,low,Rural,Don't have a job
Single,Female,2018,24,Less than basic,Teacher,low,Rural,Don't have a job
Widowed,Both,2012,61,Advanced,IT Developer,advanced,Rural,Don't have a job
Divorced of separated legally,Female,2022,41,NaN,Architect,low,Urban,Don't have a job
Divorced of separated legally,Male,2009,60,NaN,Accountant,advanced,Rural,Don't have a job
NaN,Female,2021,46,Advanced,Teacher,advanced,National,Have a job
Divorced of separated legally,Female,2008,35,Intermediate,Car driver,No skill,Rural,Don't have a job
Divorced of separated legally,Both,2000,60,Less than basic,IT Developer,No skill,Rural,Have a job
Single,Male,2016,23,NaN,IT Developer,NaN,National,Don't have a job
Widowed,Female,2016,49,Advanced,Teacher,medium,National,Have a job
Divorced of separated legally,Both,2018,32,NaN,Doctor,medium,National,Have a job
Single,Female,2011,45,Less than basic,Accountant,medium,Rural,Don't have a job
Single,Male,2012,56,NaN,Banker,No skill,Urban,Have a job
Divorced of separated legally,Both,2010,48,Intermediate,Banker,NaN,Urban,Don't have a job
NaN,Both,2011,44,Less than basic,Car driver,NaN,Rural,Have a job
Single,Female,2010,62,NaN,Architect,low,Rural,Have a job
Married,Male,2016,38,Intermediate,Doctor,advanced,Rural,Don't have a job
Single,Female,2000,47,NaN,Banker,low,National,Have a job
Single,Female,2020,30,Less than basic,Teacher,low,Rural,Don't have a job
NaN,Female,2000,30,Less than basic,Accountant,medium,Urban,Don't have a job
Single,Female,2003,18,Basic,Architect,medium,Rural,Have a job
Divorced of separated legally,Both,2013,51,Less than basic,Accountant,medium,Rural,Don't have a job
Single,Male,2021,21,Basic,Architect,medium,Urban,Don't have a job
Divorced of separated legally,Male,2022,34,Basic,Banker,low,Rural,Have a job
Single,Male,2010,49,Less than basic,IT Developer,low,Urban,Have a job
NaN,Female,2021,29,Less than basic,Banker,advanced,National,Don't have a job
Divorced of separated legally,Both,2010,29,Basic,Banker,advanced,Rural,Don't have a job
NaN,Both,2023,29,Less than basic,Artist,No skill,National,Don't have a job
Divorced of separated legally,Female,2023,32,Less than basic,Architect,NaN,Urban,Have a job
NaN,Both,2000,51,Intermediate,IT Developer,NaN,National,Have a job
NaN,Both,2012,56,Basic,Banker,medium,Urban,Don't have a job
Divorced of separated legally,Male,2021,53,Advanced,Doctor,No skill,National,Have a job
NaN,Female,2020,47,NaN,Architect,medium,Rural,Have a job
Married,Female,2010,43,Less than basic,Architect,No skill,Rural,Don't have a job
Married,Both,2004,46,Less than basic,IT Developer,NaN,Rural,Have a job
Single,Both,2004,53,NaN,Accountant,medium,Rural,Have a job
Single,Female,2002,25,Less than basic,IT Developer,NaN,National,Have a job
Married,Male,2022,39,Advanced,Teacher,No skill,Urban,Have a job
Divorced of separated legally,Female,2023,35,Less than basic,Banker,No skill,Urban,Don't have a job
Divorced of separated legally,Male,2009,44,Advanced,Car driver,No skill,National,Don't have a job
Divorced of separated legally,Male,2018,60,Intermediate,Accountant,advanced,Rural,Have a job
Divorced of separated legally,Male,2006,29,NaN,Architect,low,National,Don't have a job
Married,Male,2018,31,Basic,Artist,medium,Rural,Have a job
Divorced of separated legally,Male,2018,32,Basic,Architect,NaN,Rural,Have a job
NaN,Both,2023,52,Basic,Doctor,medium,National,Have a job
Widowed,Male,2010,26,Less than basic,Architect,medium,Rural,Don't have a job
NaN,Male,2006,21,Intermediate,Architect,NaN,National,Don't have a job
NaN,Female,2015,63,Advanced,Car driver,medium,Urban,Don't have a job
Widowed,Male,2002,16,Advanced,Doctor,medium,Urban,Have a job
NaN,Female,2013,18,Basic,Banker,medium,Urban,Have a job
Single,Both,2012,35,Intermediate,Artist,medium,Rural,Have a job
Single,Both,2022,18,Advanced,Banker,advanced,National,Don't have a job
Single,Both,2014,45,Less than basic,Architect,NaN,Rural,Don't have a job
Married,Male,2016,52,Basic,Architect,No skill,Urban,Don't have a job
Married,Both,2012,61,NaN,Accountant,advanced,Rural,Don't have a job
Single,Male,2010,62,NaN,Architect,No skill,National,Have a job
Single,Both,2004,53,Advanced,Accountant,advanced,Rural,Don't have a job
Widowed,Both,2002,25,Advanced,IT Developer,medium,Rural,Have a job
NaN,Female,2009,50,Advanced,Artist,No skill,National,Have a job
Divorced of separated legally,Male,2006,18,Less than basic,IT Developer,advanced,Rural,Don't have a job
Widowed,Female,2003,65,Basic,Accountant,medium,Urban,Don't have a job
Divorced of separated legally,Both,2001,15,Advanced,Architect,medium,National,Don't have a job
Widowed,Both,2010,30,Intermediate,IT Developer,No skill,National,Have a job
NaN,Both,2018,15,Less than basic,Doctor,No skill,Urban,Have a job
Married,Female,2008,63,Basic,Artist,low,Rural,Have a job
Single,Female,2013,44,Basic,Teacher,medium,Rural,Have a job
Married,Female,2011,21,Basic,IT Developer,medium,Urban,Have a job
Divorced of separated legally,Both,2002,64,Advanced,Architect,NaN,National,Have a job
Widowed,Both,2006,57,Advanced,Banker,low,Urban,Don't have a job
Single,Both,2003,49,Advanced,Banker,advanced,Urban,Don't have a job
Single,Male,2008,45,Advanced,Car driver,medium,Urban,Don't have a job
NaN,Male,2013,53,Intermediate,IT Developer,NaN,Urban,Don't have a job
Married,Female,2008,60,Intermediate,IT Developer,NaN,Rural,Have a job
NaN,Both,2020,37,Less than basic,Banker,advanced,National,Don't have a job
Widowed,Male,2014,46,Less than basic,IT Developer,medium,Urban,Don't have a job
Single,Both,2014,15,Basic,Doctor,advanced,Rural,Don't have a job
NaN,Female,2019,43,Advanced,Banker,medium,Rural,Have a job
Widowed,Female,2017,17,Intermediate,Banker,advanced,Urban,Don't have a job
NaN,Both,2003,59,Intermediate,Artist,medium,Rural,Don't have a job
Divorced of separated legally,Both,2008,17,Advanced,Teacher,advanced,National,Don't have a job
Single,Both,2022,38,Advanced,Teacher,medium,National,Don't have a job
Widowed,Male,2019,17,Basic,Doctor,low,National,Don't have a job
Single,Male,2002,22,NaN,Architect,No skill,National,Don't have a job
Divorced of separated legally,Male,2000,25,Intermediate,IT Developer,NaN,Rural,Have a job
Single,Both,2019,26,Intermediate,Doctor,medium,National,Don't have a job
Widowed,Female,2022,25,NaN,Doctor,low,National,Don't have a job
Single,Both,2009,38,Less than basic,Banker,medium,National,Have a job
Widowed,Male,2017,27,Basic,Banker,advanced,Rural,Have a job
Widowed,Male,2004,32,Less than basic,Artist,NaN,National,Don't have a job
Widowed,Female,2007,21,Less than basic,IT Developer,low,Urban,Have a job
Single,Both,2010,58,Advanced,Artist,No skill,National,Don't have a job
Single,Female,2018,39,Less than basic,Banker,advanced,Urban,Have a job
Married,Male,2014,38,Intermediate,Banker,medium,Urban,Have a job
Married,Male,2017,42,Intermediate,Teacher,No skill,National,Have a job
Divorced of separated legally,Female,2000,21,NaN,Car driver,NaN,Urban,Don't have a job
Single,Female,2017,38,Advanced,Car driver,NaN,National,Have a job
Married,Male,2022,41,Less than basic,IT Developer,No skill,Rural,Don't have a job
Single,Male,2017,53,Advanced,IT Developer,low,Rural,Don't have a job
Widowed,Both,2012,27,Basic,IT Developer,advanced,Urban,Have a job
Divorced of separated legally,Male,2021,29,Basic,Banker,No skill,Rural,Don't have a job
Single,Female,2001,15,Less than basic,Teacher,No skill,National,Have a job
Married,Female,2018,17,Intermediate,Banker,medium,Rural,Have a job
Divorced of separated legally,Both,2002,55,NaN,Car driver,No skill,Urban,Don't have a job
Divorced of separated legally,Male,2018,23,Intermediate,Accountant,NaN,Rural,Don't have a job
Married,Female,2006,30,NaN,Banker,No skill,Urban,Have a job
Married,Both,2013,21,Basic,Car driver,NaN,National,Don't have a job
Single,Female,2004,19,Intermediate,Car driver,medium,National,Don't have a job
Married,Both,2003,44,NaN,Architect,low,Urban,Have a job
Widowed,Male,2023,44,Advanced,Banker,low,Rural,Have a job
Divorced of separated legally,Female,2004,26,Advanced,Artist,medium,Urban,Have a job
Divorced of separated legally,Both,2005,32,Basic,Car driver,No skill,Rural,Have a job
Divorced of separated legally,Female,2022,25,Basic,Accountant,low,Rural,Don't have a job
Single,Female,2008,40,NaN,Car driver,low,Urban,Have a job
Married,Male,2015,29,Basic,Artist,No skill,National,Have a job
Widowed,Female,2009,42,Less than basic,Teacher,No skill,Urban,Have a job
Widowed,Male,2008,59,Intermediate,Teacher,advanced,National,Have a job
Married,Both,2004,40,Advanced,Banker,NaN,Urban,Don't have a job
Widowed,Male,2002,31,Less than basic,Accountant,NaN,Rural,Have a job
Widowed,Female,2002,34,Basic,Banker,NaN,National,Don't have a job
Married,Male,2020,33,Basic,Architect,NaN,Rural,Don't have a job
Single,Both,2014,35,Basic,Architect,No skill,National,Have a job
Married,Both,2019,51,Advanced,Architect,advanced,National,Have a job
NaN,Male,2008,27,Advanced,Artist,low,Urban,Have a job
Single,Both,2005,31,Intermediate,Banker,NaN,Rural,Don't have a job
Widowed,Both,2016,35,Intermediate,Car driver,medium,National,Don't have a job
Divorced of separated legally,Both,2014,23,NaN,Car driver,NaN,National,Don't have a job
Widowed,Both,2003,18,Intermediate,Car driver,NaN,Urban,Don't have a job
Married,Female,2016,22,Intermediate,Car driver,No skill,Urban,Have a job
Widowed,Both,2014,30,NaN,Teacher,low,Urban,Have a job
NaN,Female,2021,64,NaN,Artist,NaN,Rural,Don't have a job
NaN,Both,2008,50,Advanced,Car driver,low,Urban,Don't have a job
Single,Male,2012,62,Advanced,Artist,advanced,Urban,Have a job
Widowed,Both,2007,64,Intermediate,Architect,medium,Rural,Don't have a job
NaN,Female,2021,20,Intermediate,Architect,low,Urban,Don't have a job
NaN,Male,2019,46,Basic,IT Developer,advanced,National,Have a job
NaN,Male,2009,48,NaN,Banker,low,Rural,Don't have a job
Married,Both,2001,44,Advanced,Banker,low,National,Have a job
Divorced of separated legally,Both,2012,27,Intermediate,IT Developer,low,Urban,Have a job
NaN,Both,2017,61,Less than basic,IT Developer,advanced,Urban,Don't have a job
NaN,Both,2022,34,Less than basic,Doctor,No skill,National,Have a job
Divorced of separated legally,Male,2013,49,Advanced,Artist,low,Rural,Have a job
Single,Both,2002,64,NaN,Banker,low,Rural,Have a job
Single,Female,2019,24,Basic,Doctor,NaN,Urban,Have a job
